"pokemon","item","percent"
"Toxicroak","Poisonium Z","42.354"
"Toxicroak","Focus Sash","35.551"
"Toxicroak","Assault Vest","17.928"
"Toxicroak","Other","4.167"
"Drampa","Assault Vest","39.852"
"Drampa","Wiki Berry","21.207"
"Drampa","Life Orb","18.673"
"Drampa","Dragonium Z","16.268"
"Drampa","Other","4.000"
"Zekrom","Choice Scarf","27.247"
"Zekrom","Electrium Z","26.671"
"Zekrom","Life Orb","14.355"
"Zekrom","Assault Vest","6.988"
"Zekrom","Darkinium Z","4.441"
"Zekrom","Roseli Berry","3.921"
"Zekrom","Mago Berry","3.430"
"Zekrom","Magnet","3.274"
"Zekrom","Aguav Berry","2.841"
"Zekrom","Other","6.831"
"Gyarados","Aguav Berry","58.896"
"Gyarados","Figy Berry","11.128"
"Gyarados","Flyinium Z","9.902"
"Gyarados","Iapapa Berry","6.607"
"Gyarados","Choice Specs","6.433"
"Gyarados","Sitrus Berry","2.550"
"Gyarados","Other","4.485"
"Excadrill","Groundium Z","82.871"
"Excadrill","Misty Seed","8.490"
"Excadrill","Choice Scarf","3.326"
"Excadrill","Other","5.311"
"Staraptor","Choice Scarf","49.963"
"Staraptor","Fightinium Z","31.234"
"Staraptor","Wiki Berry","10.815"
"Staraptor","Rocky Helmet","3.717"
"Staraptor","Choice Band","2.384"
"Staraptor","Other","1.849"
"Audino-Mega","Audinite","100.000"
"Pheromosa","Life Orb","46.426"
"Pheromosa","Darkinium Z","19.341"
"Pheromosa","Poisonium Z","14.165"
"Pheromosa","Fightinium Z","13.762"
"Pheromosa","Focus Sash","4.219"
"Pheromosa","Other","2.084"
"Ribombee","Fairium Z","51.111"
"Ribombee","Focus Sash","48.532"
"Ribombee","Other","0.357"
"Kyurem-White","Icium Z","46.706"
"Kyurem-White","Choice Scarf","31.830"
"Kyurem-White","Life Orb","6.554"
"Kyurem-White","Groundium Z","6.191"
"Kyurem-White","Choice Specs","4.952"
"Kyurem-White","Assault Vest","2.831"
"Kyurem-White","Other","0.927"
"Terrakion","Rockium Z","68.880"
"Terrakion","Life Orb","20.724"
"Terrakion","Metronome","4.877"
"Terrakion","Other","5.519"
"Medicham-Mega","Medichamite","100.000"
"Breloom","Focus Sash","96.819"
"Breloom","Other","3.181"
"Drifblim","Psychic Seed","73.705"
"Drifblim","Electric Seed","23.171"
"Drifblim","Misty Seed","3.119"
"Drifblim","Other","0.005"
"Mewtwo","Psychium Z","87.893"
"Mewtwo","Life Orb","10.754"
"Mewtwo","Other","1.354"
"Mewtwo-Mega-X","Mewtwonite X","100.000"
"Giratina-Origin","Griseous Orb","100.000"
"Banette-Mega","Banettite","100.000"
"Charizard-Mega-Y","Charizardite Y","100.000"
"Tentacruel","Waterium Z","88.818"
"Tentacruel","Poisonium Z","9.984"
"Tentacruel","Other","1.198"
"Lickilicky","Choice Band","82.516"
"Lickilicky","Assault Vest","14.315"
"Lickilicky","Leftovers","2.529"
"Lickilicky","Other","0.639"
"Thundurus","Electrium Z","74.032"
"Thundurus","Mago Berry","16.904"
"Thundurus","Wiki Berry","2.925"
"Thundurus","Aguav Berry","2.673"
"Thundurus","Other","3.466"
"Sableye","Focus Sash","57.671"
"Sableye","Mental Herb","24.755"
"Sableye","Eject Button","7.497"
"Sableye","Sitrus Berry","4.289"
"Sableye","Mago Berry","2.676"
"Sableye","Other","3.107"
"Parasect","Focus Sash","43.438"
"Parasect","Mental Herb","41.663"
"Parasect","Electric Seed","8.162"
"Parasect","Iapapa Berry","4.100"
"Parasect","Other","2.139"
"Ho-Oh","Aguav Berry","32.039"
"Ho-Oh","Iapapa Berry","28.070"
"Ho-Oh","Mago Berry","15.012"
"Ho-Oh","Flyinium Z","10.303"
"Ho-Oh","Figy Berry","7.660"
"Ho-Oh","Groundium Z","3.071"
"Ho-Oh","Other","3.844"
"Talonflame","Flyinium Z","98.337"
"Talonflame","Other","1.662"
"Scizor","Assault Vest","75.547"
"Scizor","Life Orb","19.516"
"Scizor","Other","4.937"
"Sceptile-Mega","Sceptilite","100.000"
"Dialga","Wiki Berry","31.687"
"Dialga","Aguav Berry","25.673"
"Dialga","Sitrus Berry","9.183"
"Dialga","Iapapa Berry","6.998"
"Dialga","Assault Vest","6.115"
"Dialga","Misty Seed","4.850"
"Dialga","Groundium Z","4.413"
"Dialga","Shuca Berry","3.128"
"Dialga","Dragonium Z","2.341"
"Dialga","Mental Herb","2.125"
"Dialga","Other","3.485"
"Aegislash","Weakness Policy","53.855"
"Aegislash","Kasib Berry","19.641"
"Aegislash","Ghostium Z","7.658"
"Aegislash","Safety Goggles","5.581"
"Aegislash","Life Orb","3.816"
"Aegislash","Other","9.449"
